#t_s,Fd_N
0.757000,0.021421
0.758000,0.025176
0.759000,0.031862
0.760000,0.041563
0.761000,0.054167
0.762000,0.069360
0.763000,0.086640
0.764000,0.105336
0.765000,0.124644
0.766000,0.143663
0.767000,0.161444
0.768000,0.177043
0.769000,0.189568
0.770000,0.198237
0.771000,0.202420
0.772000,0.201684
0.773000,0.195819
0.774000,0.184861
0.775000,0.169100
0.776000,0.149073
0.777000,0.125548
0.778000,0.099486
0.779000,0.072006
0.780000,0.044330
0.781000,0.017721
0.782000,-0.006575
0.783000,-0.027396
0.784000,-0.043723
0.785000,-0.054738
0.786000,-0.059868
0.787000,-0.058823
0.788000,-0.051618
0.789000,-0.038580
0.790000,-0.020339
0.791000,0.002195
0.792000,0.027866
0.793000,0.055332
0.794000,0.083117
0.795000,0.109686
0.796000,0.133519
0.797000,0.153180
0.798000,0.167398
0.799000,0.175123
0.800000,0.175589
0.801000,0.168348
0.802000,0.153306
0.803000,0.130729
0.804000,0.101236
0.805000,0.065776
0.806000,0.025590
0.807000,-0.017848
0.808000,-0.062897
0.809000,-0.107820
0.810000,-0.150871
0.811000,-0.190370
0.812000,-0.224787
0.813000,-0.252812
0.814000,-0.273414
0.815000,-0.285893
0.816000,-0.289907
0.817000,-0.285490
0.818000,-0.273049
0.819000,-0.253336
0.820000,-0.227416
0.821000,-0.196606
0.822000,-0.162415
0.823000,-0.126462
0.824000,-0.090400
0.825000,-0.055832
0.826000,-0.024234
0.827000,0.003121
0.828000,0.025219
0.829000,0.041357
0.830000,0.051168
0.831000,0.054644
0.832000,0.052123
0.833000,0.044270
0.834000,0.032040
0.835000,0.016620
0.836000,-0.000635
0.837000,-0.018275
0.838000,-0.034836
0.839000,-0.048916
0.840000,-0.059256
0.841000,-0.064802
0.842000,-0.064769
0.843000,-0.058678
0.844000,-0.046390
0.845000,-0.028114
0.846000,-0.004397
0.847000,0.023896
0.848000,0.055629
0.849000,0.089443
0.850000,0.123829
0.851000,0.157199
0.852000,0.187962
0.853000,0.214610
0.854000,0.235783
0.855000,0.250347
0.856000,0.257443
0.857000,0.256535
0.858000,0.247436
0.859000,0.230321
0.860000,0.205721
0.861000,0.174500
0.862000,0.137816
0.863000,0.097070
0.864000,0.053844
0.865000,0.009825
0.866000,-0.033265
0.867000,-0.073750
0.868000,-0.110074
0.869000,-0.140871
0.870000,-0.165021
0.871000,-0.181703
0.872000,-0.190425
0.873000,-0.191047
0.874000,-0.183781
0.875000,-0.169183
0.876000,-0.148121
0.877000,-0.121738
0.878000,-0.091397
0.879000,-0.058620
0.880000,-0.025022
0.881000,0.007763
0.882000,0.038150
0.883000,0.064676
0.884000,0.086057
0.885000,0.101247
0.886000,0.109476
0.887000,0.110288
0.888000,0.103552
0.889000,0.089474
0.890000,0.068578
0.891000,0.041690
0.892000,0.009902
0.893000,-0.025476
0.894000,-0.062972
0.895000,-0.101004
0.896000,-0.137955
0.897000,-0.172231
0.898000,-0.202327
0.899000,-0.226889
0.900000,-0.244766
0.901000,-0.255058
0.902000,-0.257150
0.903000,-0.250738
0.904000,-0.235842
0.905000,-0.212807
0.906000,-0.182289
0.907000,-0.145233
0.908000,-0.102838
0.909000,-0.056514
0.910000,-0.007825
0.911000,0.041564
0.912000,0.089953
0.913000,0.135666
0.914000,0.177121
0.915000,0.212881
0.916000,0.241714
0.917000,0.262638
0.918000,0.274955
0.919000,0.278282
0.920000,0.272563
0.921000,0.258068
0.922000,0.235391
0.923000,0.205416
0.924000,0.169292
0.925000,0.128384
0.926000,0.084221
0.927000,0.038438
0.928000,-0.007293
0.929000,-0.051319
0.930000,-0.092078
0.931000,-0.128158
0.932000,-0.158350
0.933000,-0.181696
0.934000,-0.197525
0.935000,-0.205479
0.936000,-0.205522
0.937000,-0.197943
0.938000,-0.183338
0.939000,-0.162586
0.940000,-0.136805
0.941000,-0.107310
0.942000,-0.075552
0.943000,-0.043057
0.944000,-0.011362
0.945000,0.018051
0.946000,0.043818
0.947000,0.064750
0.948000,0.079878
0.949000,0.088501
0.950000,0.090206
0.951000,0.084888
0.952000,0.072750
0.953000,0.054296
0.954000,0.030303
0.955000,0.001790
0.956000,-0.030029
0.957000,-0.063796
0.958000,-0.098065
0.959000,-0.131365
0.960000,-0.162261
0.961000,-0.189408
0.962000,-0.211610
0.963000,-0.227861
0.964000,-0.237387
0.965000,-0.239669
0.966000,-0.234464
0.967000,-0.221807
0.968000,-0.202002
0.969000,-0.175610
0.970000,-0.143419
0.971000,-0.106408
0.972000,-0.065707
0.973000,-0.022550
0.974000,0.021771
0.975000,0.065958
0.976000,0.108754
0.977000,0.148981
0.978000,0.185584
0.979000,0.217661
0.980000,0.244486
0.981000,0.265526
0.982000,0.280449
0.983000,0.289127
0.984000,0.291623
0.985000,0.288183
0.986000,0.279213
0.987000,0.265255
0.988000,0.246963
0.989000,0.225070
0.990000,0.200358
0.991000,0.173632
0.992000,0.145688
0.993000,0.117290
0.994000,0.089149
0.995000,0.061900
0.996000,0.036089
0.997000,0.012166
0.998000,-0.009526
0.999000,-0.028750
1.000000,-0.045378
1.001000,-0.059381
1.002000,-0.070823
1.003000,-0.079854
1.004000,-0.086693
1.005000,-0.091619
1.006000,-0.094951
1.007000,-0.097039
1.008000,-0.098244
1.009000,-0.098922
1.010000,-0.099415
1.011000,-0.100032
1.012000,-0.101038
1.013000,-0.102646
1.014000,-0.105007
1.015000,-0.108203
1.016000,-0.112246
1.017000,-0.117074
1.018000,-0.122556
1.019000,-0.128497
1.020000,-0.134642
1.021000,-0.140690
1.022000,-0.146307
1.023000,-0.151140
1.024000,-0.154830
1.025000,-0.157035
1.026000,-0.157441
1.027000,-0.155785
1.028000,-0.151863
1.029000,-0.145547
1.030000,-0.136797
1.031000,-0.125662
1.032000,-0.112286
1.033000,-0.096908
1.034000,-0.079851
1.035000,-0.061515
1.036000,-0.042364
1.037000,-0.022905
1.038000,-0.003667
1.039000,0.014817
1.040000,0.032038
1.041000,0.047532
1.042000,0.060902
1.043000,0.071836
1.044000,0.080124
1.045000,0.085668
1.046000,0.088490
1.047000,0.088731
1.048000,0.086645
1.049000,0.082588
1.050000,0.077004
1.051000,0.070403
1.052000,0.063334
1.053000,0.056361
1.054000,0.050034
1.055000,0.044857
1.056000,0.041265
1.057000,0.039597
1.058000,0.040077
1.059000,0.042798
1.060000,0.047714
1.061000,0.054633
1.062000,0.063228
1.063000,0.073042
1.064000,0.083508
1.065000,0.093972
1.066000,0.103720
1.067000,0.112013
1.068000,0.118115
1.069000,0.121335
1.070000,0.121054
1.071000,0.116764
1.072000,0.108088
1.073000,0.094812
1.074000,0.076894
1.075000,0.054480
1.076000,0.027903
1.077000,-0.002323
1.078000,-0.035513
1.079000,-0.070831
1.080000,-0.107322
1.081000,-0.143939
1.082000,-0.179581
1.083000,-0.213136
1.084000,-0.243517
