#t_s,e_des_um
0.656000,0.504433
0.657000,0.660002
0.658000,0.706827
0.659000,0.592989
0.660000,0.479152
0.661000,0.365315
0.662000,0.251477
0.663000,0.137640
0.664000,0.023803
0.665000,-0.090034
0.666000,-0.018635
0.667000,0.086725
0.668000,0.192086
0.669000,0.297447
0.670000,0.402807
0.671000,0.508168
0.672000,0.613529
0.673000,0.611401
0.674000,0.341564
0.675000,0.071727
0.676000,-0.198110
0.677000,-0.467948
0.678000,-0.737785
0.679000,-1.007622
0.680000,-1.277459
0.681000,-1.402111
0.682000,-1.472494
0.683000,-1.542877
0.684000,-1.613259
0.685000,-1.683642
0.686000,-1.754024
0.687000,-1.824407
0.688000,-1.874072
0.689000,-1.822102
0.690000,-1.770133
0.691000,-1.718163
0.692000,-1.666194
0.693000,-1.614224
0.694000,-1.562255
0.695000,-1.510285
0.696000,-1.529024
0.697000,-1.592828
0.698000,-1.656632
0.699000,-1.720437
0.700000,-1.784241
0.701000,-1.848045
0.702000,-1.911849
0.703000,-1.968336
0.704000,-1.891890
0.705000,-1.815444
0.706000,-1.738998
0.707000,-1.662552
0.708000,-1.586106
0.709000,-1.509660
0.710000,-1.433214
0.711000,-1.451538
0.712000,-1.567093
0.713000,-1.682648
0.714000,-1.798203
0.715000,-1.913757
0.716000,-2.029312
0.717000,-2.144867
0.718000,-2.260422
0.719000,-2.045328
0.720000,-1.807252
0.721000,-1.569176
0.722000,-1.331100
0.723000,-1.093024
0.724000,-0.854949
0.725000,-0.616873
0.726000,-0.489256
0.727000,-0.544615
0.728000,-0.599975
0.729000,-0.655334
0.730000,-0.710693
0.731000,-0.766053
0.732000,-0.821412
0.733000,-0.876771
0.734000,-0.863089
0.735000,-0.834031
0.736000,-0.804973
0.737000,-0.775914
0.738000,-0.746856
0.739000,-0.717798
0.740000,-0.688739
0.741000,-0.669556
0.742000,-0.678583
0.743000,-0.687610
0.744000,-0.696638
0.745000,-0.705665
0.746000,-0.714692
0.747000,-0.723719
0.748000,-0.732747
0.749000,-0.741774
0.750000,-0.750801
0.751000,-0.759829
0.752000,-0.768856
0.753000,-0.777883
0.754000,-0.786910
0.755000,-0.795938
0.756000,-0.794768
0.757000,-0.732049
0.758000,-0.669330
0.759000,-0.606611
0.760000,-0.543892
0.761000,-0.481173
0.762000,-0.418453
0.763000,-0.355734
0.764000,-0.304464
0.765000,-0.261366
0.766000,-0.218267
0.767000,-0.175169
0.768000,-0.132070
0.769000,-0.088971
0.770000,-0.045873
0.771000,0.000000
0.772000,0.154245
0.773000,0.308490
0.774000,0.462735
0.775000,0.616981
0.776000,0.771226
0.777000,0.925471
0.778000,1.079716
0.779000,1.175541
0.780000,1.204525
0.781000,1.233508
0.782000,1.262491
0.783000,1.291475
0.784000,1.320458
0.785000,1.349442
0.786000,1.378425
0.787000,1.457851
0.788000,1.542400
0.789000,1.626949
0.790000,1.711497
0.791000,1.796046
0.792000,1.880595
0.793000,1.965144
0.794000,2.006688
0.795000,1.968092
0.796000,1.929497
0.797000,1.890901
0.798000,1.852306
0.799000,1.813710
0.800000,1.775115
0.801000,1.736519
0.802000,1.849296
0.803000,2.002155
0.804000,2.155014
0.805000,2.307873
0.806000,2.460732
0.807000,2.613591
0.808000,2.766450
0.809000,2.879447
0.810000,2.860536
0.811000,2.841625
0.812000,2.822714
0.813000,2.803803
0.814000,2.784892
0.815000,2.765981
0.816000,2.747070
0.817000,2.548708
0.818000,2.263348
0.819000,1.977988
0.820000,1.692628
0.821000,1.407268
0.822000,1.121908
0.823000,0.836547
0.824000,0.563394
0.825000,0.384260
0.826000,0.205126
0.827000,0.025992
0.828000,-0.153142
0.829000,-0.332276
0.830000,-0.511410
0.831000,-0.690544
0.832000,-0.698613
0.833000,-0.570258
0.834000,-0.441903
0.835000,-0.313548
0.836000,-0.185194
0.837000,-0.056839
0.838000,0.071516
0.839000,0.199871
0.840000,0.039523
0.841000,-0.121476
0.842000,-0.282475
0.843000,-0.443473
0.844000,-0.604472
0.845000,-0.765471
0.846000,-0.926469
0.847000,-0.988362
0.848000,-0.923694
0.849000,-0.859027
0.850000,-0.794360
0.851000,-0.729692
0.852000,-0.665025
0.853000,-0.600358
0.854000,-0.535690
0.855000,-0.369391
0.856000,-0.189312
0.857000,-0.009232
0.858000,0.170848
0.859000,0.350928
0.860000,0.531008
0.861000,0.711088
0.862000,0.845090
0.863000,0.882077
0.864000,0.919065
0.865000,0.956053
0.866000,0.993041
0.867000,1.030029
0.868000,1.067017
0.869000,1.104005
0.870000,1.105577
0.871000,1.096174
0.872000,1.086772
0.873000,1.077370
0.874000,1.067967
0.875000,1.058565
0.876000,1.049163
0.877000,1.008970
0.878000,0.849270
0.879000,0.689570
0.880000,0.529869
0.881000,0.370169
0.882000,0.210468
0.883000,0.050768
0.884000,-0.108933
0.885000,-0.133110
0.886000,-0.083114
0.887000,-0.033117
0.888000,0.016880
0.889000,0.066876
0.890000,0.116873
0.891000,0.166870
0.892000,0.213994
0.893000,0.231232
0.894000,0.248470
0.895000,0.265709
0.896000,0.282947
0.897000,0.300185
0.898000,0.317424
0.899000,0.334662
0.900000,0.272218
0.901000,0.138862
0.902000,0.005506
0.903000,-0.127850
0.904000,-0.261205
0.905000,-0.394561
0.906000,-0.527917
0.907000,-0.661273
0.908000,-0.857241
0.909000,-1.055110
0.910000,-1.252979
0.911000,-1.450848
0.912000,-1.648717
0.913000,-1.846586
0.914000,-2.044454
0.915000,-2.079336
0.916000,-1.881571
0.917000,-1.683805
0.918000,-1.486040
0.919000,-1.288275
0.920000,-1.090509
0.921000,-0.892744
0.922000,-0.694978
0.923000,-0.572442
0.924000,-0.462830
0.925000,-0.353217
0.926000,-0.243605
0.927000,-0.133993
0.928000,-0.024381
0.929000,0.085231
0.930000,0.171984
0.931000,0.204058
0.932000,0.236131
0.933000,0.268205
0.934000,0.300279
0.935000,0.332352
0.936000,0.364426
0.937000,0.396500
0.938000,0.247793
0.939000,0.034316
0.940000,-0.179160
0.941000,-0.392637
0.942000,-0.606113
0.943000,-0.819590
0.944000,-1.033066
0.945000,-1.185025
0.946000,-1.052215
0.947000,-0.919404
0.948000,-0.786593
0.949000,-0.653782
0.950000,-0.520971
0.951000,-0.388160
0.952000,-0.255350
0.953000,-0.306595
0.954000,-0.471095
0.955000,-0.635595
0.956000,-0.800095
0.957000,-0.964595
0.958000,-1.129095
0.959000,-1.293595
0.960000,-1.437083
0.961000,-1.254211
0.962000,-1.071338
0.963000,-0.888466
0.964000,-0.705594
0.965000,-0.522722
0.966000,-0.339850
0.967000,-0.156977
0.968000,-0.253327
0.969000,-0.626772
0.970000,-1.000217
0.971000,-1.373661
0.972000,-1.747106
0.973000,-2.120551
0.974000,-2.493995
0.975000,-2.867440
0.976000,-2.741505
0.977000,-2.585571
0.978000,-2.429638
0.979000,-2.273705
0.980000,-2.117771
0.981000,-1.961838
0.982000,-1.805904
0.983000,-1.634412
0.984000,-1.438042
0.985000,-1.241671
0.986000,-1.045300
0.987000,-0.848929
0.988000,-0.652559
0.989000,-0.456188
0.990000,-0.259817
0.991000,-0.118041
0.992000,0.012249
0.993000,0.142539
0.994000,0.272828
0.995000,0.403118
0.996000,0.533408
0.997000,0.663698
0.998000,0.774267
0.999000,0.830861
1.000000,0.887455
1.001000,0.944050
1.002000,1.000644
1.003000,1.057238
1.004000,1.113833
1.005000,1.170427
1.006000,1.133544
1.007000,1.058297
1.008000,0.983051
1.009000,0.907804
1.010000,0.832558
1.011000,0.757311
1.012000,0.682065
1.013000,0.602128
1.014000,0.495706
1.015000,0.389284
1.016000,0.282862
1.017000,0.176439
1.018000,0.070017
1.019000,-0.036405
1.020000,-0.142827
1.021000,-0.248403
1.022000,-0.353395
1.023000,-0.458388
1.024000,-0.563380
1.025000,-0.668373
1.026000,-0.773365
1.027000,-0.878358
1.028000,-0.982853
1.029000,-1.072899
1.030000,-1.162946
1.031000,-1.252993
1.032000,-1.343039
1.033000,-1.433086
1.034000,-1.523132
1.035000,-1.613179
1.036000,-1.697326
1.037000,-1.774946
1.038000,-1.852566
1.039000,-1.930186
1.040000,-2.007806
1.041000,-2.085426
1.042000,-2.163046
1.043000,-2.240665
1.044000,-2.196450
