#t_s,e_raw_um
0.899000,0.291086
0.900000,0.228641
0.901000,0.095286
0.902000,-0.038070
0.903000,-0.171426
0.904000,-0.304782
0.905000,-0.438137
0.906000,-0.571493
0.907000,-0.704849
0.908000,-0.900817
0.909000,-1.098686
0.910000,-1.296555
0.911000,-1.494424
0.912000,-1.692293
0.913000,-1.890162
0.914000,-2.088031
0.915000,-2.122913
0.916000,-1.925147
0.917000,-1.727382
0.918000,-1.529616
0.919000,-1.331851
0.920000,-1.134085
0.921000,-0.936320
0.922000,-0.738554
0.923000,-0.616018
0.924000,-0.506406
0.925000,-0.396794
0.926000,-0.287182
0.927000,-0.177570
0.928000,-0.067958
0.929000,0.041654
0.930000,0.128408
0.931000,0.160481
0.932000,0.192555
0.933000,0.224629
0.934000,0.256703
0.935000,0.288776
0.936000,0.320850
0.937000,0.352924
0.938000,0.204217
0.939000,-0.009260
0.940000,-0.222736
0.941000,-0.436213
0.942000,-0.649690
0.943000,-0.863166
0.944000,-1.076643
0.945000,-1.228602
0.946000,-1.095791
0.947000,-0.962980
0.948000,-0.830169
0.949000,-0.697358
0.950000,-0.564548
0.951000,-0.431737
0.952000,-0.298926
0.953000,-0.350171
0.954000,-0.514671
0.955000,-0.679171
0.956000,-0.843671
0.957000,-1.008172
0.958000,-1.172672
0.959000,-1.337172
0.960000,-1.480659
0.961000,-1.297787
0.962000,-1.114915
0.963000,-0.932042
0.964000,-0.749170
0.965000,-0.566298
0.966000,-0.383426
0.967000,-0.200554
0.968000,-0.296903
0.969000,-0.670348
0.970000,-1.043793
0.971000,-1.417238
0.972000,-1.790682
0.973000,-2.164127
0.974000,-2.537572
0.975000,-2.911016
0.976000,-2.785081
0.977000,-2.629148
0.978000,-2.473214
0.979000,-2.317281
0.980000,-2.161347
0.981000,-2.005414
0.982000,-1.849481
0.983000,-1.677989
0.984000,-1.481618
0.985000,-1.285247
0.986000,-1.088876
0.987000,-0.892506
0.988000,-0.696135
0.989000,-0.499764
0.990000,-0.303393
0.991000,-0.161617
0.992000,-0.031327
0.993000,0.098962
0.994000,0.229252
0.995000,0.359542
0.996000,0.489832
0.997000,0.620121
0.998000,0.730691
0.999000,0.787285
1.000000,0.843879
1.001000,0.900474
1.002000,0.957068
1.003000,1.013662
1.004000,1.070256
1.005000,1.126851
1.006000,1.089968
1.007000,1.014721
1.008000,0.939474
1.009000,0.864228
1.010000,0.788981
1.011000,0.713735
1.012000,0.638488
1.013000,0.558552
1.014000,0.452130
1.015000,0.345707
1.016000,0.239285
1.017000,0.132863
1.018000,0.026441
1.019000,-0.079981
1.020000,-0.186403
1.021000,-0.291979
1.022000,-0.396972
1.023000,-0.501964
1.024000,-0.606957
1.025000,-0.711949
1.026000,-0.816942
1.027000,-0.921934
1.028000,-1.026429
1.029000,-1.116476
1.030000,-1.206522
1.031000,-1.296569
1.032000,-1.386615
1.033000,-1.476662
1.034000,-1.566708
1.035000,-1.656755
1.036000,-1.740903
1.037000,-1.818522
1.038000,-1.896142
1.039000,-1.973762
1.040000,-2.051382
1.041000,-2.129002
1.042000,-2.206622
1.043000,-2.284242
1.044000,-2.240027
1.045000,-2.184657
1.046000,-2.129288
1.047000,-2.073918
1.048000,-2.018548
1.049000,-1.963179
1.050000,-1.907809
1.051000,-1.854936
1.052000,-1.806548
1.053000,-1.758161
1.054000,-1.709773
1.055000,-1.661385
1.056000,-1.612998
1.057000,-1.564610
1.058000,-1.516223
1.059000,-1.452241
1.060000,-1.384336
1.061000,-1.316431
1.062000,-1.248526
1.063000,-1.180621
1.064000,-1.112716
1.065000,-1.044811
1.066000,-0.976906
1.067000,-0.909001
1.068000,-0.841096
1.069000,-0.773191
1.070000,-0.705286
1.071000,-0.637381
1.072000,-0.569476
1.073000,-0.501571
