# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_default
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=896436268.5
# n=3
# n_steps_done=62853
# note=
# r_actual=1
# r_design=1
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.21,0,0,-0.174,-0.173995,5.10066,1.04988,-0.043576,1.09346,1.21423e-06,-0.147451,-0.0255033,-0.000485693,-1.60481e-09,-0.025989,0.0180274,-1.02064e-07,2.21017e-08,2.0584e-08,0.0025989,2.88536e-18
0.215,0,0,-0.174,-0.173995,5.05566,0.969129,-0.043576,1.0127,-2.21511e-05,-0.152644,-0.0252783,0.00886043,9.74326e-06,-0.0164081,0.0113819,-6.39169e-08,1.38507e-08,1.28936e-08,0.00164081,0
0.22,0,0,-0.174,-0.173995,4.94624,0.698453,-0.043576,0.742029,-1.13202e-05,-0.064956,-0.0247312,0.00452807,1.30041e-06,-0.0202018,0.0140138,-7.70821e-08,1.67146e-08,1.55528e-08,0.00202018,0
0.225,0,0,-0.174,-0.173995,4.98632,0.427777,-0.043576,0.471353,4.20774e-05,0.04987,-0.0249316,-0.016831,-6.6783e-05,-0.0418293,0.0290173,-1.6055e-07,3.48355e-08,3.24007e-08,0.00418293,0
0.23,0,0,-0.174,-0.173995,5.30521,1.38678,-0.043576,1.43036,8.83374e-05,0.078423,-0.0265261,-0.0353349,-0.000617949,-0.062479,0.0433431,-2.53532e-07,5.50424e-08,5.11754e-08,0.0062479,0
0.235,0,0,-0.174,-0.173994,5.7493,2.67138,-0.043576,2.71495,7.59153e-05,-0.007177,-0.0287465,-0.0303661,-0.0003922,-0.0595048,0.0412807,-2.60004e-07,5.64786e-08,5.24915e-08,0.00595048,6.60636e-18
0.24,0,0,-0.174,-0.173994,6.01325,1.8055,-0.043576,1.84908,1.32843e-05,-0.110648,-0.0300662,-0.00531372,-2.10152e-06,-0.0353821,0.0245463,-1.61223e-07,3.50394e-08,3.25546e-08,0.00353821,-3.9282e-18
0.245,0,0,-0.174,-0.173994,5.96026,2.02874,-0.043576,2.07232,-3.70467e-05,-0.115216,-0.0298013,0.0148187,4.55794e-05,-0.0149371,0.0103628,-6.74935e-08,1.46759e-08,1.36307e-08,0.00149371,-1.65835e-18
0.25,0,0,-0.174,-0.173994,5.7717,2.74886,-0.043576,2.79244,-2.54165e-05,-0.013735,-0.0288585,0.0101666,1.47187e-05,-0.0186771,0.0129577,-8.18042e-08,1.77959e-08,1.65234e-08,0.00186771,0
0.255,0,0,-0.174,-0.173994,5.74893,2.24658,-0.043576,2.29016,2.90968e-05,0.080985,-0.0287447,-0.0116387,-2.20829e-05,-0.0404055,0.0280327,-1.75966e-07,3.82968e-08,3.55481e-08,0.00404055,4.48591e-18
0.26,0,0,-0.174,-0.173994,5.97604,2.57174,-0.043576,2.61532,5.80521e-05,0.056782,-0.0298802,-0.0232209,-0.000175378,-0.0532764,0.0369629,-2.40164e-07,5.22901e-08,4.85238e-08,0.00532764,0
0.265,0,0,-0.174,-0.173994,6.21174,3.34671,-0.043576,3.39028,1.66317e-05,-0.078727,-0.0310587,-0.00665269,-4.12411e-06,-0.0377155,0.0261672,-1.76175e-07,3.8373e-08,3.55999e-08,0.00377155,-4.18726e-18
0.27,0,0,-0.174,-0.173994,6.12814,3.12998,-0.043576,3.17355,-6.8863e-05,-0.205897,-0.0306407,0.0275452,0.000292736,-0.00280278,0.00194461,-1.29248e-08,2.81619e-09,2.61204e-09,0.000280278,0
0.275,0,0,-0.174,-0.173994,5.6435,2.91588,-0.043576,2.95946,-0.000126577,-0.212696,-0.0282175,0.0506307,0.00181795,0.0242311,-0.0168121,1.0337e-07,-2.25312e-08,-2.08931e-08,-0.00242311,-2.6902e-18
