# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=Alinear
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=Alinear
# mu=0
# n=1
# n_steps_done=62853
# note=
# r_actual=0
# r_design=0
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.225,0,0,-0.174,-0.173995,4.59911,0.427777,-0.043576,0.471353,4.63641e-05,0.04987,-0.0229955,-0.0185456,0,-0.0415412,0.0288174,-1.48005e-07,3.21135e-08,2.98689e-08,0.00415412,4.612e-18
0.23,0,0,-0.174,-0.173995,4.93917,1.38678,-0.043576,1.43036,9.25565e-05,0.078423,-0.0246959,-0.0370226,0,-0.0617185,0.0428155,-2.34382e-07,5.08851e-08,4.73102e-08,0.00617185,0
0.235,0,0,-0.174,-0.173995,5.40442,2.67138,-0.043576,2.71495,8.00886e-05,-0.007177,-0.0270221,-0.0320354,0,-0.0590575,0.0409704,-2.43568e-07,5.29085e-08,4.91734e-08,0.00590575,-1.31134e-17
0.24,0,0,-0.174,-0.173994,5.68845,1.8055,-0.043576,1.84908,1.70417e-05,-0.110648,-0.0284422,-0.00681667,0,-0.0352589,0.0244609,-1.52521e-07,3.31483e-08,3.07975e-08,0.00352589,0
0.245,0,0,-0.174,-0.173994,5.65356,2.02874,-0.043576,2.07232,-3.36092e-05,-0.115216,-0.0282678,0.0134437,0,-0.0148241,0.0102844,-6.3752e-08,1.38624e-08,1.28751e-08,0.00148241,-1.64581e-18
0.25,0,0,-0.174,-0.173995,5.48166,2.74886,-0.043576,2.79244,-2.22165e-05,-0.013735,-0.0274083,0.00888659,0,-0.0185217,0.0128499,-7.73065e-08,1.68174e-08,1.56149e-08,0.00185217,0
0.255,0,0,-0.174,-0.173995,5.47456,2.24658,-0.043576,2.29016,3.21303e-05,0.080985,-0.0273728,-0.0128521,0,-0.0402249,0.0279075,-1.67339e-07,3.64192e-08,3.38053e-08,0.00402249,-4.46586e-18
0.26,0,0,-0.174,-0.173994,5.71659,2.57174,-0.043576,2.61532,6.09815e-05,0.056782,-0.0285829,-0.0243926,0,-0.0529755,0.0367542,-2.29044e-07,4.9869e-08,4.62771e-08,0.00529755,5.88146e-18
0.265,0,0,-0.174,-0.173994,5.96668,3.34671,-0.043576,3.39028,1.9401e-05,-0.078727,-0.0298334,-0.00776042,0,-0.0375938,0.0260828,-1.69064e-07,3.6824e-08,3.41629e-08,0.00375938,0
0.27,0,0,-0.174,-0.173994,5.89652,3.12998,-0.043576,3.17355,-6.63095e-05,-0.205897,-0.0294826,0.0265238,0,-0.00295879,0.00205285,-1.31576e-08,2.86691e-09,2.65908e-09,0.000295879,-3.28492e-19
0.275,0,0,-0.174,-0.173995,5.42358,2.91588,-0.043576,2.95946,-0.0001247,-0.212696,-0.0271179,0.0498799,0,0.022762,-0.0157928,9.35489e-08,-2.03905e-08,-1.8908e-08,-0.0022762,-2.52709e-18
0.28,0,0,-0.174,-0.173995,4.80137,2.6715,-0.043576,2.71507,-0.000108483,-0.098149,-0.0240068,0.0433933,0,0.0193865,-0.013451,7.09916e-08,-1.54788e-08,-1.43503e-08,-0.00193865,2.15233e-18
0.285,0,0,-0.174,-0.173996,4.39296,1.97491,-0.043576,2.01849,-3.56407e-05,0.038726,-0.0219648,0.0142563,0,-0.00770852,0.00534847,-2.59087e-08,5.65079e-09,5.23776e-09,0.000770852,8.55818e-19
0.29,0,0,-0.174,-0.173996,4.36664,2.00355,-0.043576,2.04713,3.34028e-05,0.097994,-0.0218332,-0.0133611,0,-0.0351943,0.0244194,-1.1722e-07,2.55736e-08,2.36998e-08,0.00351943,3.90735e-18
0.295,0,0,-0.174,-0.173995,4.59462,2.59902,-0.043576,2.6426,5.20392e-05,0.059908,-0.0229731,-0.0208157,0,-0.0437888,0.0303829,-1.52555e-07,3.32916e-08,3.08467e-08,0.00437888,0
0.3,0,0,-0.174,-0.173995,4.80666,2.85853,-0.043576,2.90211,2.08755e-05,-0.019907,-0.0240333,-0.00835019,0,-0.0323835,0.0224696,-1.17541e-07,2.56573e-08,2.3769e-08,0.00323835,0
0.305,0,0,-0.174,-0.173995,4.81704,2.97341,-0.043576,3.01699,-2.49835e-05,-0.073728,-0.0240852,0.00999342,0,-0.0140918,0.00977777,-5.12101e-08,1.1181e-08,1.03564e-08,0.00140918,0
0.31,0,0,-0.174,-0.173995,4.62811,2.95972,-0.043576,3.0033,-5.07611e-05,-0.07118,-0.0231406,0.0203044,0,-0.00283612,0.0019679,-9.91516e-09,2.16533e-09,2.00534e-09,0.000283612,0
0.315,0,0,-0.174,-0.173996,4.37591,2.89494,-0.043576,2.93852,-4.3568e-05,-0.021628,-0.0218796,0.0174272,0,-0.00445235,0.00308938,-1.47412e-08,3.21996e-09,2.98161e-09,0.000445235,0
0.32,0,0,-0.174,-0.173996,4.21578,2.84785,-0.043576,2.89143,-1.14394e-05,0.045186,-0.0210789,0.00457575,0,-0.0165031,0.0114512,-5.26306e-08,1.14986e-08,1.0646e-08,0.00165031,-1.83222e-18
0.325,0,0,-0.174,-0.173996,4.23509,2.8179,-0.043576,2.86148,2.51141e-05,0.088792,-0.0211754,-0.0100457,0,-0.0312211,0.0216638,-9.9725e-08,2.17919e-08,2.01735e-08,0.00312211,0
0.33,0,0,-0.174,-0.173996,4.40277,2.94204,-0.043576,2.98562,3.87436e-05,0.065044,-0.0220139,-0.0154975,0,-0.0375113,0.0260287,-1.24002e-07,2.71019e-08,2.50861e-08,0.00375113,0
0.335,0,0,-0.174,-0.173995,4.55127,3.23488,-0.043576,3.27846,5.40556e-06,-0.04612,-0.0227563,-0.00216222,0,-0.0249186,0.0172908,-8.48909e-08,1.85568e-08,1.71747e-08,0.00249186,0
0.34,0,0,-0.174,-0.173996,4.43088,3.70658,-0.043576,3.75016,-7.55239e-05,-0.205354,-0.0221544,0.0302096,0,0.00805515,-0.00558944,2.67467e-08,-5.84768e-09,-5.41156e-09,-0.000805515,0
0.345,0,0,-0.174,-0.173996,3.86219,2.77311,-0.043576,2.81669,-0.000167708,-0.32001,-0.0193109,0.0670833,0,0.0477724,-0.0331493,1.3938e-07,-3.04776e-08,-2.82018e-08,-0.00477724,5.3038e-18
0.35,0,0,-0.174,-0.173997,2.90131,1.57486,-0.043576,1.61843,-0.000214884,-0.310808,-0.0145066,0.0859537,0,0.0714471,-0.0495774,1.59626e-07,-3.49096e-08,-3.22997e-08,-0.00714471,0
0.355,0,0,-0.174,-0.173998,1.85716,0.11304,-0.043576,0.156617,-0.00018418,-0.184037,-0.00928581,0.0736722,0,0.0643864,-0.0446781,9.57119e-08,-2.09348e-08,-1.93679e-08,-0.00643864,0
0.36,0,0,-0.174,-0.173999,1.09963,-0.595628,-0.043576,-0.552052,-9.62779e-05,-0.030462,-0.00549815,0.0385111,0,0.033013,-0.022908,3.09567e-08,-6.77192e-09,-6.26454e-09,-0.0033013,0
0.365,0,0,-0.174,-0.173999,0.805486,-0.979922,-0.043576,-0.936346,-8.51779e-06,0.056031,-0.00402743,0.00340712,0,-0.000620314,0.000430443,-4.44716e-10,9.72956e-11,8.99986e-11,6.20314e-05,0
0.37,0,0,-0.174,-0.173999,0.870523,-0.99903,-0.043576,-0.955453,3.47089e-05,0.056684,-0.00435262,-0.0138836,0,-0.0182362,0.0126543,-1.37482e-08,3.00818e-09,2.78236e-09,0.00182362,0
0.375,0,0,-0.174,-0.173999,1.05458,-0.674714,-0.043576,-0.631138,3.37086e-05,0.022557,-0.00527288,-0.0134834,0,-0.0187563,0.0130153,-1.64867e-08,3.60777e-09,3.3367e-09,0.00187563,-2.08237e-18
0.38,0,0,-0.174,-0.173999,1.19137,-0.431048,-0.043576,-0.387471,1.77535e-05,0.002398,-0.00595684,-0.00710139,0,-0.0130582,0.00906135,-1.26978e-08,2.77893e-09,2.56997e-09,0.00130582,0
0.385,0,0,-0.174,-0.173999,1.2552,-0.340291,-0.043576,-0.296714,6.40722e-06,-0.006612,-0.00627599,-0.00256289,0,-0.00883887,0.00613347,-8.96311e-09,1.96177e-09,1.81414e-09,0.000883887,0
0.39,0,0,-0.174,-0.173999,1.26597,-0.186759,-0.043576,-0.143183,-5.88086e-06,-0.034563,-0.00632984,0.00235235,0,-0.0039775,0.00276008,-4.04918e-09,8.86332e-10,8.19584e-10,0.00039775,-4.41591e-19
0.395,0,0,-0.174,-0.173999,1.19302,-0.110685,-0.043576,-0.067109,-3.02878e-05,-0.085486,-0.0059651,0.0121151,0,0.00615,-0.00426763,5.92473e-09,-1.29699e-09,-1.19924e-09,-0.000615,6.82787e-19
0.4,0,0,-0.174,-0.173999,0.979052,-0.165939,-0.043576,-0.122363,-6.10502e-05,-0.127418,-0.00489526,0.0244201,0,0.0195248,-0.0135488,1.58033e-08,-3.45978e-09,-3.19888e-09,-0.00195248,2.16769e-18
0.405,0,0,-0.174,-0.173999,0.628669,-0.673169,-0.043576,-0.629593,-7.9443e-05,-0.131634,-0.00314335,0.0317772,0,0.0286338,-0.0198698,1.59824e-08,-3.49926e-09,-3.23522e-09,-0.00286338,3.17899e-18
0.41,0,0,-0.174,-0.174,0.231499,-1.24908,-0.043576,-1.2055,-7.49752e-05,-0.102773,-0.0011575,0.0299901,0,0.0288326,-0.0200078,7.85087e-09,-1.71903e-09,-1.58924e-09,-0.00288326,0
0.415,0,0,-0.174,-0.174,-0.105368,-1.83619,-0.043576,-1.79261,-5.3878e-05,-0.063248,0.000526841,0.0215512,0,0.022078,-0.0153206,6.17355e-10,-1.35185e-10,-1.24973e-10,-0.0022078,0
0.42,0,0,-0.174,-0.174,-0.32177,-1.94408,-0.043576,-1.9005,-2.68091e-05,-0.0219,0.00160885,0.0107236,0,0.0123325,-0.0085579,-1.61954e-09,3.54662e-10,3.27857e-10,-0.00123325,1.36918e-18
0.425,0,0,-0.174,-0.174,-0.396877,-1.90092,-0.043576,-1.85734,3.52147e-06,0.027887,0.00198438,-0.00140859,0,0.000575796,-0.000399564,-1.09628e-10,2.40088e-11,2.21933e-11,-5.75796e-05,0
0.43,0,0,-0.174,-0.174,-0.31095,-1.72385,-0.043576,-1.68027,3.84425e-05,0.085046,0.00155475,-0.015377,0,-0.0138222,0.00959172,1.87031e-09,-4.09625e-10,-3.78636e-10,0.00138222,1.53458e-18
0.435,0,0,-0.174,-0.174,-0.0474072,-1.54678,-0.043576,-1.5032,7.30305e-05,0.132344,0.000237036,-0.0292122,0,-0.0289752,0.0201069,-1.32978e-09,2.91256e-10,2.69212e-10,0.00289752,3.21689e-18
0.44,0,0,-0.174,-0.174,0.371556,-1.16335,-0.043576,-1.11978,9.68375e-05,0.154029,-0.00185778,-0.038735,0,-0.0405928,0.0281688,-1.37264e-08,3.00658e-09,2.77894e-09,0.00405928,0
