# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_strong
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=61906.29881
# n=1.5
# n_steps_done=62853
# note=
# r_actual=4
# r_design=4
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
1.08,0,0,-0.174,-0.174,0.265473,0.21647,-0.043576,0.260046,-4.15641e-06,-0.107322,-0.00132737,0.00166256,0.000524581,0.000859779,-0.000596645,1.61271e-10,-3.53543e-11,-3.26591e-11,-8.59779e-05,9.54546e-20
1.085,0,0,-0.174,-0.174,0.0727448,-0.094062,-0.043576,-0.050486,-8.85691e-05,-0.269708,-0.000363724,0.0354276,0.051601,0.0866649,-0.0601412,4.90594e-09,-1.07549e-09,-9.93503e-10,-0.00866649,-9.62173e-18
1.09,0,0,-0.174,-0.174,-0.485585,-0.752315,-0.043576,-0.708739,-0.000134135,-0.311572,0.00242793,0.0536542,0.0961723,0.152254,-0.105657,-5.10676e-08,1.11952e-08,1.03417e-08,-0.0152254,1.69036e-17
1.095,0,0,-0.174,-0.174001,-1.14229,-1.78574,-0.043576,-1.74216,-0.000114047,-0.189869,0.00571145,0.0456189,0.0753984,0.126729,-0.0879437,-1.01603e-07,2.22736e-08,2.05756e-08,-0.0126729,1.40697e-17
1.1,0,0,-0.174,-0.174002,-1.58056,-2.43014,-0.043576,-2.38656,-4.039e-05,0.0167,0.0079028,0.016156,0.0158908,0.0399496,-0.0277231,-4.46353e-08,9.78507e-09,9.03911e-09,-0.00399496,0
1.105,0,0,-0.174,-0.174002,-1.59636,-2.83295,-0.043576,-2.78937,5.1525e-05,0.169075,0.0079818,-0.02061,-0.0228961,-0.0355243,0.0246522,4.03234e-08,-8.83982e-09,-8.16592e-09,0.00355243,0
1.11,0,0,-0.174,-0.174001,-1.22325,-2.87969,-0.043576,-2.83611,9.46956e-05,0.18289,0.00611623,-0.0378782,-0.0570465,-0.0888085,0.0616288,7.76823e-08,-1.70297e-08,-1.57315e-08,0.00888085,9.85973e-18
1.115,0,0,-0.174,-0.174001,-0.76824,-2.33492,-0.043576,-2.29135,7.63206e-05,0.092459,0.0038412,-0.0305282,-0.041276,-0.067963,0.047163,3.74803e-08,-8.21654e-09,-7.59015e-09,0.0067963,0
1.12,0,0,-0.174,-0.174,-0.470969,-1.48954,-0.043576,-1.44596,3.35213e-05,0.003226,0.00235484,-0.0134085,-0.0120148,-0.0230685,0.0160084,7.78803e-09,-1.70731e-09,-1.57716e-09,0.00230685,0
1.125,0,0,-0.174,-0.174,-0.373268,-0.281096,-0.043576,-0.23752,3.64981e-06,-0.018976,0.00186634,-0.00145992,-0.000431659,-2.52428e-05,1.75173e-05,6.70555e-12,-1.47001e-12,-1.35794e-12,2.52428e-06,2.80252e-21
1.13,0,0,-0.174,-0.174,-0.372886,-1.22036,-0.043576,-1.17678,-1.48937e-06,-0.006444,0.00186443,0.000595747,0.000112522,0.0025727,-0.00178533,-6.80509e-10,1.49183e-10,1.3781e-10,-0.00025727,-2.85627e-19
1.135,0,0,-0.174,-0.174,-0.380168,-2.18809,-0.043576,-2.14451,-4.67066e-06,-0.034106,0.00190084,0.00186826,0.000624888,0.00439399,-0.00304922,-1.18461e-09,2.59694e-10,2.39896e-10,-0.000439399,-4.87831e-19
1.14,0,0,-0.174,-0.174,-0.449128,-1.06158,-0.043576,-1.01801,-3.26266e-05,-0.115761,0.00224564,0.0130506,0.011537,0.0268333,-0.018621,-8.508e-09,1.86515e-09,1.72296e-09,-0.00268333,-2.97909e-18
1.145,0,0,-0.174,-0.174001,-0.689719,-1.12291,-0.043576,-1.07933,-6.88475e-05,-0.176788,0.00344859,0.027539,0.0353645,0.0663521,-0.0460452,-3.21938e-08,7.05762e-09,6.51959e-09,-0.00663521,0
1.15,0,0,-0.174,-0.174001,-1.0631,-1.80619,-0.043576,-1.76261,-7.46247e-05,-0.139929,0.00531548,0.0298499,0.0399079,0.0750733,-0.0520972,-5.62353e-08,1.23281e-08,1.13882e-08,-0.00750733,-8.33481e-18
1.155,0,0,-0.174,-0.174001,-1.37692,-3.14726,-0.043576,-3.10368,-3.77178e-05,-0.021814,0.00688461,0.0150871,0.0143402,0.0363119,-0.0251987,-3.53581e-08,7.7513e-09,7.16038e-09,-0.00363119,-4.03143e-18
1.16,0,0,-0.174,-0.174001,-1.452,-3.16853,-0.043576,-3.12495,1.99347e-05,0.080674,0.00725998,-0.0079739,-0.00550999,-0.00622391,0.00431909,6.41669e-09,-1.40669e-09,-1.29945e-09,0.000622391,-1.38199e-18
