# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_medium
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=1197621.822
# n=2
# n_steps_done=62853
# note=
# r_actual=2
# r_design=2
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.355,0,0,-0.174,-0.173998,2.09837,0.11304,-0.043576,0.156617,-0.000160143,-0.184037,-0.0104918,0.0640571,0.0307138,0.084279,-0.0584817,1.39562e-07,-3.0526e-08,-2.82413e-08,-0.0084279,0
0.36,0,0,-0.174,-0.173999,1.44292,-0.595628,-0.043576,-0.552052,-8.28579e-05,-0.030462,-0.00721459,0.0331432,0.00822219,0.0341507,-0.0236975,4.03051e-08,-8.81693e-09,-8.15633e-09,-0.00341507,0
0.365,0,0,-0.174,-0.173999,1.19135,-0.979922,-0.043576,-0.936346,-6.18985e-06,0.056031,-0.00595677,0.00247594,4.5886e-05,-0.00343494,0.00238354,-3.40244e-09,7.44389e-10,6.88561e-10,0.000343494,-3.81355e-19
0.37,0,0,-0.174,-0.173999,1.25689,-0.99903,-0.043576,-0.955453,3.23798e-05,0.056684,-0.00628447,-0.0129519,-0.00125565,-0.020492,0.0142197,-2.10726e-08,4.61081e-09,4.26468e-09,0.0020492,0
0.375,0,0,-0.174,-0.173999,1.42501,-0.674714,-0.043576,-0.631138,2.96946e-05,0.022557,-0.00712505,-0.0118778,-0.00105602,-0.0200589,0.0139192,-2.29131e-08,5.01405e-09,4.63733e-09,0.00200589,-2.22698e-18
0.38,0,0,-0.174,-0.173998,1.54138,-0.431048,-0.043576,-0.387471,1.37466e-05,0.002398,-0.00770689,-0.00549865,-0.000226314,-0.0134319,0.00932061,-1.64032e-08,3.58987e-09,3.31993e-09,0.00134319,0
0.385,0,0,-0.174,-0.173998,1.58589,-0.340291,-0.043576,-0.296714,2.75016e-06,-0.006612,-0.00792946,-0.00110006,-9.05806e-06,-0.00903858,0.00627206,-1.12904e-08,2.47116e-09,2.28519e-09,0.000903858,0
0.39,0,0,-0.174,-0.173998,1.57892,-0.186759,-0.043576,-0.143183,-9.27823e-06,-0.034563,-0.00789461,0.00371129,0.000103098,-0.00408023,0.00283136,-5.06144e-09,1.10791e-09,1.02447e-09,0.000408023,4.52996e-19
0.395,0,0,-0.174,-0.173999,1.48968,-0.110685,-0.043576,-0.067109,-3.32297e-05,-0.085486,-0.00744841,0.0132919,0.00132243,0.00716589,-0.00497259,8.41441e-09,-1.842e-09,-1.70319e-09,-0.000716589,7.95574e-19
0.4,0,0,-0.174,-0.173999,1.26332,-0.165939,-0.043576,-0.122363,-6.25847e-05,-0.127418,-0.00631661,0.0250339,0.0046909,0.0234082,-0.0162435,2.36744e-08,-5.18298e-09,-4.79213e-09,-0.00234082,-2.59883e-18
0.405,0,0,-0.174,-0.173999,0.909594,-0.673169,-0.043576,-0.629593,-7.88328e-05,-0.131634,-0.00454797,0.0315331,0.00744274,0.0344279,-0.0238905,2.60829e-08,-5.71072e-09,-5.27981e-09,-0.00344279,0
0.41,0,0,-0.174,-0.173999,0.518253,-1.24908,-0.043576,-1.2055,-7.33794e-05,-0.102773,-0.00259126,0.0293518,0.00644863,0.0332091,-0.0230448,1.57998e-08,-3.45953e-09,-3.19834e-09,-0.00332091,0
0.415,0,0,-0.174,-0.174,0.18809,-1.83619,-0.043576,-1.79261,-5.32232e-05,-0.063248,-0.00094045,0.0212893,0.00339251,0.0237413,-0.0164748,5.60834e-09,-1.22809e-09,-1.13532e-09,-0.00237413,-2.63582e-18
0.42,0,0,-0.174,-0.174,-0.0284125,-1.94408,-0.043576,-1.9005,-2.78476e-05,-0.0219,0.000142062,0.011139,0.000928743,0.0122098,-0.0084728,9.39928e-10,-2.05834e-10,-1.90277e-10,-0.00122098,0
0.425,0,0,-0.174,-0.174,-0.111571,-1.90092,-0.043576,-1.85734,1.21253e-06,0.027887,0.000557854,-0.000485013,-1.76078e-06,7.10804e-05,-4.9325e-05,8.73904e-13,-1.91387e-13,-1.76915e-13,-7.10804e-06,7.89151e-21
0.43,0,0,-0.174,-0.174,-0.0384656,-1.72385,-0.043576,-1.68027,3.54663e-05,0.085046,0.000192328,-0.0141865,-0.00150644,-0.0155006,0.0107564,-9.04045e-10,1.97999e-10,1.8302e-10,0.00155006,0
0.435,0,0,-0.174,-0.174,0.207606,-1.54678,-0.043576,-1.5032,6.84951e-05,0.132344,-0.00103803,-0.027398,-0.00561874,-0.0340548,0.0236318,-7.73747e-09,1.69471e-09,1.56644e-09,0.00340548,0
0.44,0,0,-0.174,-0.173999,0.599085,-1.16335,-0.043576,-1.11978,8.98589e-05,0.154029,-0.00299543,-0.0359436,-0.00967035,-0.0486093,0.0337318,-2.43099e-08,5.32476e-09,4.9216e-09,0.00486093,0
0.445,0,0,-0.174,-0.173999,1.0646,-0.342394,-0.043576,-0.298818,9.46813e-05,0.148874,-0.00532301,-0.0378725,-0.0107361,-0.0539317,0.0374252,-4.4593e-08,9.76798e-09,9.02811e-09,0.00539317,0
0.45,0,0,-0.174,-0.173998,1.52253,0.397191,-0.043576,0.440767,8.3897e-05,0.118272,-0.00761265,-0.0335588,-0.00842972,-0.0496012,0.0344202,-5.70145e-08,1.24894e-08,1.15431e-08,0.00496012,0
